Country Name,"Country Code","Series Name","Series Code","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2022 [YR2022]","2023 [YR2023]"
Afghanistan,"AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","63.016","63.081","63.565","62.879","NA"
Afghanistan,"AFG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","2952.99891598909","2902.39211285546","2927.2451435353","1981.71016810561","1992.42439419795"
Afghanistan,"AFG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","264.543988949921","299.787491486803","321.499080608947","NA","NA"
Afghanistan,"AFG","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","5.26141691207886","NA","NA","3.98425006866455","NA"
Afghanistan,"AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","65.8623470043896","67.2271774798558","58.3308722306744","NA","NA"
Afghanistan,"AFG","Control of Corruption: Estimate","CC.EST","-1.53007459640503","-1.50287592411041","-1.41931009292603","-1.18368434906006","-1.15493178367615"
Africa Eastern and Southern,"AFE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.9248101271544","63.3670367555538","63.7547521666693","62.888463228983","NA"
Africa Eastern and Southern,"AFE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","4085.879142873","4088.89095321539","4073.8805217004","3974.80304490307","3967.86093740163"
Africa Eastern and Southern,"AFE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","213.392545924477","210.912168061908","216.093237686662","NA","NA"
Africa Eastern and Southern,"AFE","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","NA","NA","NA","NA","NA"
Africa Eastern and Southern,"AFE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.3113771648908","27.4042948742715","26.2482004644559","NA","NA"
Africa Eastern and Southern,"AFE","Control of Corruption: Estimate","CC.EST","NA","NA","NA","NA","NA"
Africa Western and Central,"AFW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","56.8266341483196","57.1297073906826","57.5002948387114","57.5891064273872","NA"
Africa Western and Central,"AFW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","4709.64546122443","4730.82340705174","4774.41277140774","4767.38326230894","4814.6114433725"
Africa Western and Central,"AFW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","155.614570902702","143.568932092679","147.946417027309","NA","NA"
Africa Western and Central,"AFW","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","NA","NA","NA","NA","NA"
Africa Western and Central,"AFW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","60.3446180405013","56.0999508285847","50.7719620968246","NA","NA"
Africa Western and Central,"AFW","Control of Corruption: Estimate","CC.EST","NA","NA","NA","NA","NA"
Albania,"ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","79.047","79.184","79.282","76.833","NA"
Albania,"ALB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","14095.7590458888","14698.5376181768","15065.7495726178","17097.4783599802","17975.7983946412"
Albania,"ALB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","838.41698767324","896.791354129562","981.879024394578","NA","NA"
Albania,"ALB","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","16.1501998901367","16.4676494598389","17.3219871520996","19.834644317627","NA"
Albania,"ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","18.5552438171978","19.0461862321065","15.70470712234","NA","NA"
Albania,"ALB","Control of Corruption: Estimate","CC.EST","-0.481386840343475","-0.546018898487091","-0.564274072647095","-0.408189445734024","-0.332218527793884"
Algeria,"DZA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.743","76.066","76.474","77.129","NA"
Algeria,"DZA","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","15427.6641894871","15343.4261221255","15199.1989965648","14782.2002968893","15159.324237194"
Algeria,"DZA","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","759.241295702719","766.858649472508","710.995867236057","NA","NA"
Algeria,"DZA","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","NA","NA","11.4359302520752","NA","NA"
Algeria,"DZA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","24.7521457818965","24.9335900639775","24.3886086444981","NA","NA"
Algeria,"DZA","Control of Corruption: Estimate","CC.EST","-0.598896265029907","-0.658903956413269","-0.656169533729553","-0.638041079044342","-0.589308321475983"
American Samoa,"ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","NA","NA","NA","NA","NA"
American Samoa,"ASM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","NA","NA","NA","NA","NA"
